Mes de defunción;Sexo;Edad;Total
noviembre;Hombres;De 70 a 74 años;12
noviembre;Hombres;De 75 a 79 años;15
noviembre;Hombres;De 80 a 84 años;15
noviembre;Hombres;De 85 a 89 años;10
noviembre;Hombres;De 90 a 94 años;3
noviembre;Hombres;De 95 años y más;1
noviembre;Mujeres;Todas las edades;79
noviembre;Mujeres;Menores de 15 años;0
noviembre;Mujeres;De 15 a 29 años;5
noviembre;Mujeres;De 30 a 39 años;5
noviembre;Mujeres;De 40 a 44 años;5
noviembre;Mujeres;De 45 a 49 años;8
noviembre;Mujeres;De 50 a 54 años;13
noviembre;Mujeres;De 55 a 59 años;11
noviembre;Mujeres;De 60 a 64 años;8
noviembre;Mujeres;De 65 a 69 años;3
noviembre;Mujeres;De 70 a 74 años;7
noviembre;Mujeres;De 75 a 79 años;5
noviembre;Mujeres;De 80 a 84 años;6
noviembre;Mujeres;De 85 a 89 años;2
noviembre;Mujeres;De 90 a 94 años;0
noviembre;Mujeres;De 95 años y más;1
diciembre;Ambos sexos;Todas las edades;285
diciembre;Ambos sexos;Menores de 15 años;1
diciembre;Ambos sexos;De 15 a 29 años;23
diciembre;Ambos sexos;De 30 a 39 años;40
diciembre;Ambos sexos;De 40 a 44 años;18
diciembre;Ambos sexos;De 45 a 49 años;33
diciembre;Ambos sexos;De 50 a 54 años;21
diciembre;Ambos sexos;De 55 a 59 años;24
diciembre;Ambos sexos;De 60 a 64 años;18
diciembre;Ambos sexos;De 65 a 69 años;31
diciembre;Ambos sexos;De 70 a 74 años;23
diciembre;Ambos sexos;De 75 a 79 años;23
diciembre;Ambos sexos;De 80 a 84 años;16
diciembre;Ambos sexos;De 85 a 89 años;5
diciembre;Ambos sexos;De 90 a 94 años;9
diciembre;Ambos sexos;De 95 años y más;0
diciembre;Hombres;Todas las edades;206
diciembre;Hombres;Menores de 15 años;0
diciembre;Hombres;De 15 a 29 años;14
diciembre;Hombres;De 30 a 39 años;29
diciembre;Hombres;De 40 a 44 años;14
diciembre;Hombres;De 45 a 49 años;25
diciembre;Hombres;De 50 a 54 años;14
diciembre;Hombres;De 55 a 59 años;18
diciembre;Hombres;De 60 a 64 años;13
diciembre;Hombres;De 65 a 69 años;25
diciembre;Hombres;De 70 a 74 años;15
diciembre;Hombres;De 75 a 79 años;15
diciembre;Hombres;De 80 a 84 años;12
diciembre;Hombres;De 85 a 89 años;4
diciembre;Hombres;De 90 a 94 años;8
diciembre;Hombres;De 95 años y más;0
diciembre;Mujeres;Todas las edades;79
diciembre;Mujeres;Menores de 15 años;1
diciembre;Mujeres;De 15 a 29 años;9
diciembre;Mujeres;De 30 a 39 años;11
diciembre;Mujeres;De 40 a 44 años;4
diciembre;Mujeres;De 45 a 49 años;8
diciembre;Mujeres;De 50 a 54 años;7
diciembre;Mujeres;De 55 a 59 años;6
diciembre;Mujeres;De 60 a 64 años;5
diciembre;Mujeres;De 65 a 69 años;6
diciembre;Mujeres;De 70 a 74 años;8
diciembre;Mujeres;De 75 a 79 años;8
diciembre;Mujeres;De 80 a 84 años;4
diciembre;Mujeres;De 85 a 89 años;1
diciembre;Mujeres;De 90 a 94 años;1
diciembre;Mujeres;De 95 años y más;0
